franchise_id,team_abbr,display_name,city,start_year,end_year,status,successor_franchise_id,hex_color
NOP,NOP,New Orleans Pelicans,New Orleans,2013,,active,,#0C2340
NOH2,NOH,New Orleans Hornets,New Orleans,2007,2013,rebranded,NOP,#00778B
NOK,NOK,New Orleans/Oklahoma City Hornets,Oklahoma City,2005,2007,relocated,NOH2,#00778B
NOH,NOH,New Orleans Hornets,New Orleans,2002,2005,relocated,NOK,#00778B
CHH,CHH,Charlotte Hornets,Charlotte,1988,2002,relocated,NOH,#1D1160

# ============================================
# NEW YORK KNICKS
# ============================================
NYK,NYK,New York Knicks,New York,1946,,active,,#006BB6

# ============================================
# OKLAHOMA CITY THUNDER (moved from Seattle 2008)
# ============================================
OKC,OKC,Oklahoma City Thunder,Oklahoma City,2008,,active,,#007AC1
SEA,SEA,Seattle SuperSonics,Seattle,1967,2008,relocated,OKC,

# ============================================
# ORLANDO MAGIC
# ============================================
ORL,ORL,Orlando Magic,Orlando,1989,,active,,#0077C0

# ============================================
# PHILADELPHIA 76ERS (abbrev change PHL -> PHI in 1996)
# ============================================
PHI,PHI,Philadelphia 76ers,Philadelphia,1996,,active,,#006BB6
PHL,PHL,Philadelphia 76ers,Philadelphia,1963,1996,rebranded,PHI,#006BB6

# ============================================
# PHOENIX SUNS
# ============================================
PHX,PHX,Phoenix Suns,Phoenix,1968,,active,,#1D1160

# ============================================
# PORTLAND TRAIL BLAZERS
# ============================================
POR,POR,Portland Trail Blazers,Portland,1970,,active,,#E03A3E

# ============================================
# SACRAMENTO KINGS (KC Kings -> Sacramento)
# ============================================
SAC,SAC,Sacramento Kings,Sacramento,1985,,active,,#5A2D81
KCK,KCK,Kansas City Kings,Kansas City,1975,1985,relocated,SAC,

# ============================================
# SAN ANTONIO SPURS (abbrev change SAN -> SAS in 1996)
# ============================================
SAS,SAS,San Antonio Spurs,San Antonio,1996,,active,,#C4CED4
SAN,SAN,San Antonio Spurs,San Antonio,1976,1996,rebranded,SAS,#C4CED4

# ============================================
# TORONTO RAPTORS
# ============================================
TOR,TOR,Toronto Raptors,Toronto,1995,,active,,#CE1141

# ============================================
# UTAH JAZZ (moved from New Orleans 1979, abbrev change UTH -> UTA in 1996)
# ============================================
UTA,UTA,Utah Jazz,Salt Lake City,1996,,active,,#002B5C
UTH,UTH,Utah Jazz,Salt Lake City,1979,1996,rebranded,UTA,#002B5C
NOJ,NOJ,New Orleans Jazz,New Orleans,1974,1979,relocated,UTH,

# ============================================
# WASHINGTON WIZARDS (Bullets -> Wizards)
# ============================================
WAS,WAS,Washington Wizards,Washington,1997,,active,,#002B5C
WSB,WSB,Washington Bullets,Washington,1974,1997,rebranded,WAS,

