franchise_id,team_abbr,display_name,city,start_year,end_year,status,successor_franchise_id,hex_color
EDM,EDM,Edmonton Oilers,Edmonton,1979,,active,,#041E42

# HARTFORD WHALERS -> CAROLINA HURRICANES (1997)
# Game data uses HAR for Hartford Whalers
CAR,CAR,Carolina Hurricanes,Raleigh,1997,,active,,#CC0000
HAR,HAR,Hartford Whalers,Hartford,1979,1997,relocated,CAR,#00703C

# QUEBEC NORDIQUES -> COLORADO AVALANCHE (1995)
COL,COL,Colorado Avalanche,Denver,1995,,active,,#6F263D
QUE,QUE,Quebec Nordiques,Quebec City,1979,1995,relocated,COL,#295491

# WINNIPEG JETS (ORIGINAL) -> PHOENIX COYOTES (1996) -> ARIZONA COYOTES (2014) -> UTAH HOCKEY CLUB (2024)
# Game data uses WIN for original Winnipeg Jets
UTA,UTA,Utah Hockey Club,Salt Lake City,2024,,active,,#6CACE4
ARI,ARI,Arizona Coyotes,Glendale,2014,2024,relocated,UTA,#8C2633
PHX,PHX,Phoenix Coyotes,Glendale,1996,2014,rebranded,ARI,#8C2633
WIN,WIN,Winnipeg Jets,Winnipeg,1979,1996,relocated,PHX,#041E42

# ============================================
# 1991 EXPANSION
# ============================================

# SAN JOSE SHARKS
SJS,SJS,San Jose Sharks,San Jose,1991,,active,,#006D75

# ============================================
# 1992 EXPANSION
# ============================================

# OTTAWA SENATORS
OTT,OTT,Ottawa Senators,Ottawa,1992,,active,,#C52032

# TAMPA BAY LIGHTNING
TBL,TBL,Tampa Bay Lightning,Tampa,1992,,active,,#002868

# ============================================
# 1993 EXPANSION
# ============================================

# FLORIDA PANTHERS
FLA,FLA,Florida Panthers,Sunrise,1993,,active,,#041E42

# MIGHTY DUCKS OF ANAHEIM -> ANAHEIM DUCKS (2006)
ANA,ANA,Anaheim Ducks,Anaheim,2006,,active,,#F47A38
MDA,ANA,Mighty Ducks of Anaheim,Anaheim,1993,2006,rebranded,ANA,#9F792C

# ============================================
# 1998 EXPANSION
# ============================================

# NASHVILLE PREDATORS
NSH,NSH,Nashville Predators,Nashville,1998,,active,,#FFB81C

# ============================================
# 1999 EXPANSION
# ============================================

# ATLANTA THRASHERS -> WINNIPEG JETS (2011, new franchise, NOT same as original Jets)
WPG,WPG,Winnipeg Jets,Winnipeg,2011,,active,,#041E42
ATL,ATL,Atlanta Thrashers,Atlanta,1999,2011,relocated,WPG,#5C88DA

# ============================================
# 2000 EXPANSION
# ============================================

# COLUMBUS BLUE JACKETS
CBJ,CBJ,Columbus Blue Jackets,Columbus,2000,,active,,#002654

# MINNESOTA WILD
MIN,MIN,Minnesota Wild,Saint Paul,2000,,active,,#154734

# ============================================
# 2017 EXPANSION
# ============================================

# VEGAS GOLDEN KNIGHTS
# Game data uses VEG, not VGK
VEG,VEG,Vegas Golden Knights,Las Vegas,2017,,active,,#B4975A

# ============================================
# 2021 EXPANSION
# ============================================

# SEATTLE KRAKEN
SEA,SEA,Seattle Kraken,Seattle,2021,,active,,#001628

